YEAR;WUE;ID;Psummer;Tsummer;BAI
2002;84.78195275;6;66.46666718;51.6000007;1234.103934
2003;94.28957588;6;50.9666659;43.53333282;1266.505526
2004;87.47946956;6;44.8333346;41.06666756;537.2598273
2005;85.19543334;6;20.1000007;19.53333378;800.6201329
2006;84.95974525;6;54.06666819;39.96666781;690.5307792
2007;77.80345868;6;56.00000127;40.43333435;1055.358969
2008;83.72220244;6;39.40000089;24.26666737;1009.393932
2009;83.29172001;6;34.10000038;29.10000038;952.4374786
2010;81.9397601;6;46.93333435;20;892.042768
2011;79.26075095;6;49.36666743;42.43333435;1252.708679
2012;92.88704268;6;28.13333384;19.79999987;1338.884483
2013;93.63024302;6;43.93333435;24.46666718;525.8025705
2014;93.75339072;6;40.96666654;32.79999987;1036.926598
2015;91.91589469;6;56.06666692;39.66666603;1235.70896
2016;91.05556725;6;29.30000051;22.86666743;860.4401568
2017;93.3274731;6;53.20000076;38.63333384;428.4685929
